id,label
10.1007/3-540-46648-7_11,A Framework for Circular Drawings of Networks
10.1007/978-3-642-11805-0_1,Why Are String Graphs So Beautiful?
10.1007/978-3-642-11805-0_2,The Art of Cheating When Drawing a Graph
10.1007/3-540-46648-7_18,The Constrained Crossing Minimization Problem
10.1007/3-540-46648-7_19,Planarity-Preserving Clustering and Embedding for Large Planar Graphs
10.1007/3-540-46648-7_16,Graph Embedding with Topological Cycle-Constraints
10.1007/3-540-46648-7_17,Embedding Vertices at Points: Few Bends Suffice for Planar Graphs
10.1007/3-540-46648-7_14,Graph Planarity and Related Topics
10.1007/3-540-46648-7_15,Grid Drawings of Four-Connected Plane Graphs
10.1007/3-540-63938-1_51,On three-dimensional layout of interconnection networks
10.1007/3-540-63938-1_52,Orthogonal 3-D graph drawing
10.1007/3-540-63938-1_50,Incremental orthogonal graph drawing in three dimensions
10.1007/3-540-63938-1_59,Graph clustering I: Cycles of cliques
10.1007/3-540-46648-7_43,Orthogonal and Straight-Line Drawings of Graphs with Succinct Representations
10.1007/3-540-63938-1_57,Algorithms and area bounds for nonplanar orthogonal drawings
10.1007/3-540-46648-7_44,Electronic Biochemical Pathways
10.1007/3-540-63938-1_58,Drawing clustered graphs on an orthogonal grid
10.1007/3-540-46648-7_41,Graph-Drawing Contest Report
10.1007/3-540-63938-1_55,Interactive orthogonal graph drawing: Algorithms and bounds
10.1007/3-540-46648-7_42,Hunting Down Graph B
10.1007/3-540-63938-1_56,Embedding a graph in the grid of a surface with the minimum number of bends is NP-hard
10.1007/3-540-63938-1_53,Finding the best viewpoints for three-dimensional graph drawings
10.1007/3-540-46648-7_40,Latour 〞 A Tree Visualisation System
10.1007/3-540-63938-1_54,A linear algorithm for optimal orthogonal drawings of triconnected cubic plane graphs
10.1007/3-540-46648-7_34,Visibility Representations of Complete Graphs
10.1007/3-540-63938-1_48,Bipartite crossing numbers of meshes and hypercubes
10.1007/3-540-46648-7_35,Triangle-Free Planar Graphs as Segments Intersection Graphs
10.1007/3-540-63938-1_49,Three-dimensional grid drawings of graphs
10.1007/3-540-46648-7_32,Multi-dimensional Orthogonal Graph Drawing with Small Boxes
10.1007/3-540-63938-1_46,A polyhedral approach to the multi-layer crossing minimization problem
10.1007/3-540-46648-7_33,Geometric Realization of Simplicial Complexes
10.1007/3-540-63938-1_47,On embedding an outer-planar graph in a point set
10.1007/3-540-46648-7_30,Isomorphic Subgraphs
10.1007/3-540-46648-7_31,Orthogonal and Quasi-upward Drawings with Vertices of Prescribed Size
10.1007/3-540-63938-1_45,Drawable and forbidden minimum weight triangulations
10.1007/3-540-46648-7_38,Voronoi Drawings of Trees
10.1007/3-540-46648-7_39,Infinite Trees and the Future
10.1007/3-540-46648-7_36,A Force-Directed Algorithm that Preserves Edge Crossing Properties
10.1007/3-540-46648-7_37,Rectangle of Influence Drawings of Graphs without Filled 3-Cycles
10.1007/978-3-642-25878-7_1,Kozo Sugiyama 1945 - 2011
10.1007/3-540-62495-3_43,Graph-Drawing contest report
10.1007/978-3-642-25878-7_2,Confluent Hasse Diagrams
10.1007/3-540-62495-3_44,Two algorithms for three dimensional orthogonal graph drawing
10.1007/3-540-62495-3_45,2-Visibility drawings of planar graphs
10.1007/3-540-62495-3_46,Upper bounds on the number of hidden nodes in Sugiyamas algorithm
10.1007/978-3-642-25878-7_6,Orthogeodesic Point-Set Embedding of Trees
10.1007/3-540-62495-3_40,Circular layout in the Graph Layout toolkit
10.1007/978-3-642-25878-7_3,Planar Open Rectangle-of-Influence Drawings with Non-aligned Frames
10.1007/3-540-62495-3_41,Multilevel visualization of clustered graphs
10.1007/978-3-642-25878-7_4,Proportional Contact Representations of Planar Graphs
10.1007/3-540-62495-3_42,Straight-line drawing algorithms for hierarchical graphs and clustered graphs
10.1007/978-3-642-25878-7_9,Graph Visualization
10.1007/978-3-642-25878-7_7,On Point-Sets That Support Planar Graphs
10.1007/978-3-642-25878-7_8,Small Point Sets for Simply-Nested Planar Graphs
10.1007/3-540-62495-3_47,Integration of declarative approaches (System Demonstration)
10.1007/3-540-62495-3_48,GIOTTO3D: A system for visualizing hierarchical structures in 3D
10.1007/3-540-62495-3_49,A new minimum cost flow algorithm with applications to graph drawing
10.1007/3-540-62495-3_54,Wiring edge-disjoint layouts
10.1007/3-540-62495-3_55,Proximity drawings of outerplanar graphs (extended abstract)
10.1007/3-540-62495-3_56,Automatic visualization of two-dimensional cellular complexes
10.1007/3-540-62495-3_57,An alternative method to crossing minimization on hierarchical graphs
10.1007/3-540-62495-3_50,Constrained graph layout
10.1007/3-540-62495-3_51,The graphlet system (system demonstration)
10.1007/3-540-62495-3_52,On the Edge Label Placement problem
10.1007/3-540-62495-3_53,Intersection graphs of noncrossing arc-connected sets in the plane
10.1007/3-540-62495-3_58,A linear-time algorithm for four-partitioning four-connected planar graphs
10.1007/3-540-62495-3_59,Graphs drawn with few crossings per edge
10.1007/11618058_9,Small Area Drawings of Outerplanar Graphs
10.1007/11618058_7,"Bar k-Visibility Graphs: Bounds on the Number of Edges, Chromatic Number, and Thickness"
10.1007/11618058_8,Drawing K n in Three Dimensions with One Bend Per Edge
10.1007/11618058_5,On Embedding a Cycle in a Plane Graph
10.1007/11618058_6,On Rectilinear Duals for Vertex-Weighted Plane Graphs
10.1007/11618058_3,Dynamic Spectral Layout of Small Worlds
10.1007/11618058_4,Exact Crossing Minimization
10.1007/11618058_1,Crossings and Permutations
10.1007/11618058_2,Morphing Planar Graphs While Preserving Edge Directions
10.1007/3-540-62495-3_33,Bipartite embeddings of trees in the plane
10.1007/3-540-62495-3_34,Series-parallel planar ordered sets have pagenumber two
10.1007/3-540-62495-3_35,On rectangle visibility graphs
10.1007/3-540-62495-3_36,A graph drawing and translation service on the WWW
10.1007/3-540-62495-3_37,"Drawing 2-, 3- and 4-colorable graphs in O(n2) volume"
10.1007/3-540-62495-3_38,Optimizing area and aspect ratio in straight-line orthogonal tree drawings
10.1007/3-540-62495-3_39,Drawing directed acyclic graphs: An experimental study
10.1007/978-3-642-00219-9_27,Placing Text Boxes on Graphs
10.1007/978-3-540-70904-6_6,Eigensolver Methods for Progressive Multidimensional Scaling of Large Data
10.1007/978-3-642-00219-9_28,Removing Node Overlaps Using Multi-sphere Scheme
10.1007/978-3-540-70904-6_5,SSDE: Fast Graph Drawing Using Sampled Spectral Distance Embedding
10.1007/978-3-642-00219-9_25,On the Hardness of Orthogonal-Order Preserving Graph Drawing
10.1007/978-3-540-70904-6_8,Schematisation of Tree Drawings
10.1007/978-3-642-00219-9_26,Generalizing the Shift Method for Rectangular Shaped Vertices with Visibility Constraints
10.1007/978-3-540-70904-6_7,Angle and Distance Constraints on Tree Drawings
10.1007/978-3-642-00219-9_23,Embeddability Problems for Upward Planar Digraphs
10.1007/978-3-642-00219-9_24,A Fully Dynamic Algorithm to Test the Upward Planarity of Single-Source Embedded Digraphs
10.1007/978-3-540-70904-6_9,Trees with Convex Faces and Optimal Angles
10.1007/978-3-642-00219-9_21,An Experimental Study on Distance-Based Graph Drawing
10.1007/978-3-642-00219-9_22,Topology Preserving Constrained Graph Layout
10.1007/978-3-642-18469-7_42,IBM ILOG Multi-platform Graph Layout Technology
10.1007/978-3-642-00219-9_20,Efficient Node Overlap Removal Using a Proximity Stress Model
10.1007/978-3-642-18469-7_41,GVSR: An On-Line Guide for Choosing a Graph Visualization Software
10.1007/978-3-642-18469-7_40,Large Crossing Angles in Circular Layouts
10.1007/978-3-642-18469-7_44,Graph Drawing Contest Report
10.1007/978-3-642-18469-7_43,Comparative Visualization of User Flows in Voice Portals
10.1007/978-3-642-36763-2_56,"More Graph Drawing in the Cloud: Data-Oblivious st-Numbering, Visibility Representations, and Orthogonal Drawing of Biconnected Planar Graphs"
10.1007/978-3-642-36763-2_57,Theory and Practice of Graph Drawing
10.1007/978-3-642-36763-2_54,The First Simple Symmetric 11-Venn Diagram
10.1007/978-3-642-36763-2_55,On the Faithfulness of Graph Visualizations
10.1007/978-3-642-36763-2_58,Graph Drawing Contest Report
10.1007/978-3-642-36763-2_52,Weak Dominance Drawings for Directed Acyclic Graphs
10.1007/978-3-642-36763-2_53,Planar Lombardi Drawings of Outerpaths
10.1007/978-3-642-00219-9_18,Hamiltonian Alternating Paths on Bicolored Double-Chains
10.1007/978-3-642-36763-2_50,On Sparse Maximal 2-Planar Graphs
10.1007/978-3-642-00219-9_19,The Binary Stress Model for Graph Drawing
10.1007/978-3-642-36763-2_51,Testing Planarity by Switching Trains
10.1007/978-3-642-18469-7_39,Placing Edge Labels by Modifying an Orthogonal Graph Drawing
10.1007/978-3-642-00219-9_17,"Graph Simultaneous Embedding Tool, GraphSET"
10.1007/978-3-642-18469-7_38,Visualizing Differences between Two Large Graphs
10.1007/978-3-540-70904-6_45,Graph-Drawing Contest Report
10.1007/978-3-642-00219-9_14,Visual Analysis of One-to-Many Matched Graphs
10.1007/978-3-642-18469-7_37,Automatic Generation of Route Sketches
10.1007/978-3-540-70904-6_44,Fast Node Overlap Removal〞Correction
10.1007/978-3-642-00219-9_15,Topological Morphing of Planar Graphs
10.1007/978-3-642-18469-7_36,GraphML-Based Exploration and Evaluation of Efficient Parallelization Alternatives for Automation Firmware
10.1007/978-3-540-70904-6_43,Smoother Transitions Between Breadth-First-Spanning-Tree-Based Drawings
10.1007/978-3-540-77537-9_36,Visualizing Internet Evolution on the Autonomous Systems Level
10.1007/978-3-642-00219-9_12,Computing Maximum C-Planar Subgraphs
10.1007/978-3-540-70904-6_42,The Website for Graph Visualization Software citess (GVSR)
10.1007/978-3-540-77537-9_37,Treemaps for Directed Acyclic Graphs
10.1007/978-3-642-00219-9_13,Clustered Planarity: Embedded Clustered Graphs with Two-Component Clusters
10.1007/978-3-540-70904-6_41,Partitions of Graphs into Trees
10.1007/978-3-540-77537-9_38,Drawing Graphs with GLEE
10.1007/978-3-642-00219-9_10,Rapid Multipole Graph Drawing on the GPU
10.1007/978-3-540-70904-6_40,Schnyder Woods and Orthogonal Surfaces
10.1007/978-3-540-77537-9_39,Graph Drawing Contest Report
10.1007/978-3-642-00219-9_11,Clustered Planarity: Clusters with Few Outgoing Edges
10.1007/978-3-642-18469-7_31,Confluent Drawing Algorithms Using Rectangular Dualization
10.1007/978-3-642-18469-7_35,Convex Polygon Intersection Graphs
10.1007/978-3-642-18469-7_34,The Quality Ratio of RAC Drawings and Planar Drawings of Planar Graphs
10.1007/978-3-642-18469-7_33,Universal Pointsets for 2-Coloured Trees
10.1007/978-3-642-18469-7_32,How to Draw a Tait-Colorable Graph
10.1007/978-3-540-77537-9_29,Efficient C-Planarity Testing for Embedded Flat Clustered Graphs with Small Faces
10.1007/978-3-642-00219-9_49,ILOG Elixir
10.1007/978-3-642-18469-7_28,Complexity of Finding Non-Planar Rectilinear Drawings of Graphs
10.1007/978-3-642-18469-7_27,Drawing Planar Graphs of Bounded Degree with Few Slopes
10.1007/978-3-642-00219-9_47,Visual Specification of Layout
10.1007/978-3-642-18469-7_26,Dot Product Representations of Planar Graphs
10.1007/978-3-642-00219-9_48,Spine Crossing Minimization in Upward Topological Book Embeddings
10.1007/978-3-642-18469-7_25,On Maximum Differential Graph Coloring
10.1007/978-3-540-77537-9_25,Algorithms for Multi-criteria One-Sided Boundary Labeling
10.1007/978-3-642-00219-9_45,A Robust Biclustering Method Based on Crossing Minimization in Bipartite Graphs
10.1007/978-3-540-77537-9_26,Multi-circular Layout of Micro/Macro Graphs
10.1007/978-3-642-00219-9_46,Visualizing the Results of Metabolic Pathway Queries
10.1007/978-3-540-77537-9_27,Constrained Simultaneous and Near-Simultaneous Embeddings
10.1007/978-3-642-00219-9_43,Policy-Aware Visualization of Internet Dynamics
10.1007/978-3-540-77537-9_28,Simultaneous Geometric Graph Embeddings
10.1007/978-3-642-00219-9_44,Enhancing Visualizations of Business Processes
10.1007/978-3-642-18469-7_29,Point-Set Embeddings of Plane 3-Trees
10.1007/978-3-642-00219-9_41,Dunnart: A Constraint-Based Network Diagram Authoring Tool
10.1007/978-3-642-18469-7_20,Improved Lower Bounds on the Area Requirements of Series-Parallel Graphs
10.1007/978-3-642-00219-9_42,Approximating the Crossing Number of Apex Graphs
10.1007/978-3-642-00219-9_40,Minimum Segment Drawings of Series-Parallel Graphs with the Maximum Degree Three
10.1007/978-3-642-18469-7_24,Triangle Contact Representations and Duality
10.1007/978-3-642-18469-7_23,On Touching Triangle Graphs
10.1007/978-3-642-18469-7_22,Optimal k-Level Planarization and Crossing Minimization
10.1007/978-3-642-18469-7_21,A Computational Approach to Conway＊s Thrackle Conjecture
10.1007/978-3-642-36763-2_34,"Canonical Ordering for Triangulations on the Cylinder, with Applications to Periodic Straight-Line Drawings"
10.1007/978-3-642-36763-2_35,Planar Preprocessing for Spring Embedders
10.1007/978-3-642-36763-2_32,Density Theorems for Intersection Graphs of t-Monotone Curves
10.1007/978-3-642-36763-2_33,The Visible Perimeter of an Arrangement of Disks
10.1007/978-3-642-36763-2_38,Drawing Clustered Graphs as Topographic Maps
10.1007/978-3-642-36763-2_39,Visualizing Streaming Text Data with Dynamic Graphs and Maps
10.1007/978-3-642-36763-2_36,StreamEB: Stream Edge Bundling.
10.1007/978-3-642-36763-2_37,Force-Directed Graph Drawing Using Social Gravity and Scaling
10.1007/978-3-540-77537-9_32,Colorability in Orthogonal Graph Drawing
10.1007/978-3-540-77537-9_33,A Note on Minimum-Area Straight-Line Drawings of Planar Graphs
10.1007/978-3-540-77537-9_34,Universal Sets of n Points for 1-Bend Drawings of Planar Graphs with n Vertices
10.1007/978-3-540-77537-9_35,LunarVis 每 Analytic Visualizations of Large Graphs
10.1007/978-3-642-36763-2_30,Testing Maximal 1-Planarity of Graphs with a Rotation System in Linear Time
10.1007/978-3-642-36763-2_31,Tangles and Degenerate Tangles
10.1007/978-3-540-77537-9_30,Clustered Planarity: Small Clusters in Eulerian Graphs
10.1007/978-3-540-77537-9_31,Drawing Colored Graphs with Constrained Vertex Positions and Few Bends per Edge
10.1007/978-3-540-77537-9_6,Crossing Numbers and Parameterized Complexity
10.1007/978-3-540-77537-9_18,Cover Contact Graphs
10.1007/978-3-642-00219-9_38,Non-convex Representations of Graphs
10.1007/978-3-642-18469-7_17,Drawing Trees with Perfect Angular Resolution and Polynomial Area
10.1007/978-3-540-77537-9_5,Improvement on the Decay of Crossing Numbers
10.1007/978-3-540-77537-9_19,Matched Drawings of Planar Graphs
10.1007/978-3-642-00219-9_39,Subdivision Drawings of Hypergraphs
10.1007/978-3-642-18469-7_16,On Graphs Supported by Line Sets
10.1007/978-3-540-77537-9_8,Cyclic Level Planarity Testing and Embedding
10.1007/978-3-642-00219-9_36,Tree Drawings on the Hexagonal Grid
10.1007/978-3-642-18469-7_15,Topology-Driven Force-Directed Algorithms
10.1007/978-3-540-77537-9_7,Characterization of Unlabeled Level Planar Graphs
10.1007/978-3-642-00219-9_37,Isometric Diamond Subgraphs
10.1007/978-3-642-18469-7_14,Drawing Graphs on a Smartphone
10.1007/978-3-540-77537-9_14,Point-Set Embedding of Trees with Edge Constraints
10.1007/978-3-642-00219-9_34,Cyclic Leveling of Directed Graphs
10.1007/978-3-540-77537-9_9,Practical Level Planarity Testing and Layout with Embedding Constraints
10.1007/978-3-540-77537-9_15,Representation of Planar Hypergraphs by Contacts of Triangles
10.1007/978-3-642-00219-9_35,Constrained Point-Set Embeddability of Planar Graphs
10.1007/978-3-540-77537-9_16,The Complexity of Several Realizability Problems for Abstract Topological Graphs
10.1007/978-3-642-00219-9_32,Drawing (Complete) Binary Tanglegrams
10.1007/978-3-642-18469-7_19,Optimal 3D Angular Resolution for Low-Degree Graphs
10.1007/978-3-540-77537-9_17,Efficient Extraction of Multiple Kuratowski Subdivisions
10.1007/978-3-642-00219-9_33,Two Polynomial Time Algorithms for the Metro-line Crossing Minimization Problem
10.1007/978-3-642-18469-7_18,Lombardi Drawings of Graphs
10.1007/978-3-642-00219-9_30,Connected Rectilinear Graphs on Point Sets
10.1007/978-3-642-00219-9_31,3-Regular Non 3-Edge-Colorable Graphs with Polyhedral Embeddings in Orientable Surfaces
10.1007/978-3-319-03841-4_11,Straight Line Triangle Representations
10.1007/978-3-319-03841-4_10,Recognizing Outer 1-Planar Graphs in Linear Time
10.1007/978-3-540-77537-9_2,Large-Scale Graphics: Digital Nature and Laser Projection
10.1007/978-3-642-18469-7_13,Crossing Minimization and Layouts of Directed Hypergraphs with Port Constraints
10.1007/978-3-540-77537-9_1,Computing Symmetries of Combinatorial Objects
10.1007/978-3-642-18469-7_12,Drawing Graphs in the Plane with a Prescribed Outer Face and Polynomial Area
10.1007/978-3-540-77537-9_4,A Bipartite Strengthening of the Crossing Lemma
10.1007/978-3-642-18469-7_11,Optimizing Regular Edge Labelings
10.1007/978-3-540-77537-9_3,Crossing Number of Graphs with Rotation Systems
10.1007/978-3-642-36763-2_45,Time-Space Maps from Triangulations
10.1007/978-3-642-36763-2_46,Graph Drawing in TikZ
10.1007/978-3-642-36763-2_43,"Clustering, Visualizing, and Navigating for Large Dynamic Graphs"
10.1007/978-3-642-36763-2_44,DAGView: An Approach for Visualizing Large Graphs
10.1007/978-3-642-36763-2_49,Visualizing Large Hierarchically Clustered Graphs with a Landscape Metaphor
10.1007/978-3-642-36763-2_47,Optical Graph Recognition
10.1007/978-3-642-36763-2_48,Interactive Random Graph Generation with Evolutionary Algorithms
10.1007/978-3-540-77537-9_21,Minimizing the Area for Planar Straight-Line Grid Drawings
10.1007/978-3-540-77537-9_22,On Planar Polyline Drawings
10.1007/978-3-540-77537-9_23,Constrained Stress Majorization Using Diagonally Scaled Gradient Projection
10.1007/978-3-540-77537-9_24,Line Crossing Minimization on Metro Maps
10.1007/978-3-642-36763-2_41,Drawing Metro Maps Using B谷zier Curves
10.1007/978-3-642-36763-2_42,Mental Map Preservation Helps User Orientation in Dynamic Graphs
10.1007/978-3-642-00219-9_29,Minimal Obstructions for 1-Immersions and Hardness of 1-Planarity Testing
10.1007/978-3-540-77537-9_20,Maximum Upward Planar Subgraphs of Embedded Planar Digraphs
10.1007/978-3-642-36763-2_40,On the Usability of Lombardi Graph Drawings
10.1007/3-540-46648-7_7,Level Planar Embedding in Linear Time
10.1007/3-540-63938-1_73,InteractiveGiotto: An algorithm for interactive orthogonal graph drawing
10.1007/3-540-46648-7_8,Higres 〞 Visualization System for Clustered Graphs and Graph Algorithms
10.1007/3-540-63938-1_74,GRID: An interactive tool for computing orthogonal drawings with the minimum number of bends
10.1007/3-540-46648-7_5,Fully Dynamic 3-Dimensional Orthogonal Graph Drawing
10.1007/3-540-63938-1_71,Graph clustering using multiway ratio cut (Software demonstration)
10.1007/3-540-46648-7_6,An E log E Line Crossing Algorithm for Levelled Graphs
10.1007/3-540-63938-1_72,ArchE: A graph drawing system for archaeology
10.1007/3-540-63938-1_70,3DCube: A tool for three dimensional graph drawing
10.1007/3-540-46648-7_9,Partitioning Approach to Visualization of Large Graphs
10.1007/3-540-63938-1_79,GraVis 〞 System demonstration
10.1007/978-3-642-36763-2_18,Touching Triangle Representations for 3-Connected Planar Graphs
10.1007/978-3-642-36763-2_19,Proportional Contact Representations of 4-Connected Planar Graphs
10.1007/3-540-46648-7_3,Combining Graph Labeling and Compaction
10.1007/3-540-63938-1_77,Online animated graph drawing for web navigation
10.1007/3-540-46648-7_4,Almost Bend-Optimal Planar Orthogonal Drawings of Biconnected Degree-3 Planar Graphs in Quadratic Time
10.1007/3-540-63938-1_78,Grappa: A graph package in java
10.1007/3-540-46648-7_1,The Anatomy of a Geometric Algorithm
10.1007/3-540-63938-1_75,Lexical navigation: Using incremental graph drawing for query refinement
10.1007/3-540-46648-7_2,Turn-Regularity and Planar Orthogonal Drawings
10.1007/3-540-63938-1_76,Design gallery browsers based on 2D and 3D graph drawing (Demo)
10.1007/978-3-642-36763-2_12,Planar Lombardi Drawings for Subcubic Graphs
10.1007/978-3-642-36763-2_13,Circle-Representations of Simple 4-Regular Planar Graphs
10.1007/978-3-642-36763-2_10,Open Rectangle-of-Influence Drawings of Non-triangulated Planar Graphs
